Product,Price,Discount,Feature 1,Feature 2,Delivery method,Colour
Fuji SL 2.3 Disc Road Bike (2018),"€1,948.99",Save 25%,"Frame: C10 high-modulus carbon, integrated head tube w/ 1 1/2"" lower, PF30 BB, double water bottle mounts, oversized ETC chainstays, flat-mount disc system, carbon dropout w/ 12mm convertible thru-axle system w/ replaceable hanger","Fork: FC-440 carbon monocoque w/ tapered carbon steerer, 12mm thru-axle dropout w/ flat-mount disc system",Bulk Tracked Courier Delivery:, Satin Storm Silver
Blank Cell BMX Bike (2019),€385.00,No discount applied,"Frame: Blank 1020 Hi-Tensile Steel with ""Park"" geometry","Forks: Blank Compound, 20"", tapered, 30mm offset",Bulk Tracked Courier Delivery:,Choice of colours
GT Mach One Junior (2019) Bike,€339.00,No discount applied,"Frame: GT Mach One Race, 6061-T6 AL, Euro BB, Reverse Dropouts, 1"" Integrated H/T","Forks: GT BMX Junior Race, Hi-Ten Steel 1"" Steerer, Oval 31.8 X 1.4mm Blades, 315mm A/C, 3/8"" Dropouts",Bulk Tracked Courier Delivery:,Electric Blue
"Cube Access WS EAZ 29"" Hardtail Bike (2018)",€382.80,Save 23%,"Frame: Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready","Fork: 	SR Suntour XCT Disc, 100mm",Bulk Tracked Courier Delivery:,Choice of colours
Fuji Nevada 29 1.3 Hardtail Bike,€637.99,Save 25%,Frame: Fuji A2-SL,"Fork: SR Suntour SF15-XCM-RL-DS-29 w/ remote lockout, 100mm travel",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Substance Gravel Bike - Sora,€649.99,Save 23%,4130 CrMo frame & fork,"700c wheels, 38c tyres",Bulk Tracked Courier Delivery:, Green - Khaki
Vitus 14 Kids Bike,€212.99,No discount applied,Light weight 6061 alloy frame,Custom handlebars designed for tiny hands,Bulk Tracked Courier Delivery:,Choice of colours
Cube Cross Hybrid ONE 400 E-Bike,"€1,618.99",Save 10%,Commuter: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Black/Blue
Brand-X - Road Bike,€338.99,No discount applied,Brand-X Road Alloy 6061 Frame,Shimano 14 speed Tourney drivetrain,Bulk Tracked Courier Delivery:, Black
Cinelli Gazzetta  Bike,€726.99,Save 14%,Frame: Columbus CrMo Double Butted,Fork: Columbus CrMo 1 1/8,Bulk Tracked Courier Delivery:,Beyond Blue Eyes
GT Performer (2019) Bike,€339.00,No discount applied,"Frame: GT FS Design, Hi-Ten Steel Tubes, DT Gusset, seat stay mounted U-Brake, Integrated 1-1/8"" headtube, removable rotor tabs, Odyssey Springfield brake compatible","Fork: GT FS Design, Hi-Ten, tapered steerer, O.D. Blades, 31mm Offset, 3/8"" Axle Dropouts",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Escarpe 29 VRX FS Bike GX Eagle 1x12,"€2,332.99",Save 22%,"Frame: Hydroformed Triple Butted 6061-T6 Aluminium with patented four-bar V-Link rear suspension, 140mm travel","Forks: RockShox Lyrik RCT3, 150mm travel",Bulk Tracked Courier Delivery:,Black - Blue
"Ghost Lanao 2.7 27.5""Ladies Full Suspension Bike","€1,089.99",Save 31%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Berry Pink/Night Bla
"GT Mach One 20"" (2019) Bike",€339.00,No discount applied,"Frame: GT Mach One Race, 6061-T6 AL, Euro BB, Reverse Dropouts, 1"" Integrated H/T","Forks: GT BMX Junior Race, Hi-Ten Steel 1"" Steerer, Oval 31.8 X 1.4mm Blades, 315mm A/C, 3/8"" Dropouts",Bulk Tracked Courier Delivery:,Electric Blue
Fuji Nevada 29 1.5 Hardtail Bike,€530.99 - €531.99,No discount applied,Frame: Fuji A2-SL,"Fork: SR Suntour SF15-XCM-HLO-DS-29 w/ hydraulic lockout, 100mm travel",Bulk Tracked Courier Delivery:,Choice of colours
Cube Aim Race 27.5 Hardtail Mountain Bike,€439.00 - €449.00,No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Choice of colours
